Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
123,5,0.0595,"미국, 일본, 경제",627cdd4d7f98dd6342b32319,추락하는 엔화… ‘나쁜 엔저’에 일본경제 ‘휘청’ ,2022-04-19
2031,5,0.0533,"미국, 일본, 경제",627cdd4d7f98dd6342b3354b,[유레카] 일본 엔화가 싸구려!,2022-04-26
2158,5,0.0533,"미국, 일본, 경제",627cdd4d7f98dd6342b33668,"일본 외무상, 12년 만에 미국 항공모함에 승선",2022-04-24
1427,5,0.0492,"미국, 일본, 경제",627cdd4d7f98dd6342b32f8d,일본의 집요한 역사왜곡…단숨에 뒤집은 ‘파친코’ 효과,2022-05-07
936,5,0.0472,"미국, 일본, 경제",627cdd4d7f98dd6342b32b05,"중이온가속기, 미국은 가동 시작하는데… 한국은 10년째 ‘준비 중’ ",2022-05-06
948,5,0.0451,"미국, 일본, 경제",627cdd4d7f98dd6342b32b20,1923년 8팀→2022년 122팀… 다음 100년도 ‘정구인의 꿈’ ,2022-05-06
2529,5,0.0397,"미국, 일본, 경제",627cdd4d7f98dd6342b338e7,"대법 “고양터미널 화재, 발주자 CJ푸드빌도 배상 책임 있어”",2022-04-19
511,5,0.0382,"미국, 일본, 경제",627cdd4d7f98dd6342b3267f,[초대석]“김해공항의 조속한 정상화로 한국의 ‘제2 허브공항’ 만들겠다” ,2022-04-25
412,5,0.0376,"미국, 일본, 경제",627cdd4d7f98dd6342b3259d,중앙선관위원장에 노태악 대법관 내정… 노정희 후임 ,2022-04-23
1482,5,0.0362,"미국, 일본, 경제",627cdd4d7f98dd6342b33007,윤석열 정부 첫 국정원장에 김규현 전 안보실 1차장 내정,2022-05-09
330,5,0.0355,"미국, 일본, 경제",627cdd4d7f98dd6342b324d9,"넷플릭스, 11년만에 가입자 첫 감소… ‘광고 넣고 요금 낮추기’ 고민 ",2022-04-21
2040,5,0.0348,"미국, 일본, 경제",627cdd4d7f98dd6342b33560,"가덕도신공항, 경제성 낮은데도 예타 면제 국책사업 추진 왜?",2022-04-26
232,5,0.0348,"미국, 일본, 경제",627cdd4d7f98dd6342b323ed,미국이 사랑한 101세 공원순찰대원의 은퇴식 ,2022-04-19
1998,5,0.0347,"미국, 일본, 경제",627cdd4d7f98dd6342b334e9,"미국, 러시아군 해커 6명에 현상금 126억원 내걸었다",2022-04-27
200,5,0.0342,"미국, 일본, 경제",627cdd4d7f98dd6342b323a3,바이든 “美 인프라건설에 미국산 철강만 사용해야” ,2022-04-20
